7_2_nega,3_3_nega,12.856242769618982
7_2_nega,1_1_posi,13.220193993930048
7_2_nega,2_0_posi,15.557350109475781
7_2_nega,4_1_nega,12.210582566654402
7_2_nega,4_3_nega,12.466985282921312
7_2_nega,7_7_nega,12.57348575339767
7_2_nega,6_2_nega,11.55623030037034
7_2_nega,2_3_nega,17.241960111865403
7_2_nega,3_6_posi,14.581464877569378
7_2_nega,7_6_posi,15.34629049263833
7_2_nega,3_2_nega,14.27262739438943
7_2_nega,2_2_posi,16.31192364377259
7_2_nega,2_0_nega,16.857608829344088
7_2_nega,2_1_nega,14.933049736374722
7_2_nega,3_2_posi,17.891943618445545
7_2_nega,1_2_nega,14.684760240796209
7_2_nega,3_1_posi,19.11695331253976
7_2_nega,1_1_nega,17.453640095389975
7_2_nega,3_1_nega,17.40237798097578
7_2_nega,2_1_posi,17.12227861229371
7_2_nega,7_6_nega,15.148562008737791
7_2_nega,2_2_nega,18.535739787281905
0_6_nega,1_0_posi,10.227819736506136
0_6_nega,7_5_nega,10.207547863924257
0_6_nega,0_1_nega,10.16778193739082
0_6_nega,0_7_nega,13.040313879115558
0_6_nega,6_5_nega,11.178303751077364
0_6_nega,7_1_nega,12.796253754975465
0_6_nega,2_3_posi,12.268604463757992
0_6_nega,6_1_nega,13.836214773935092
0_6_nega,1_0_nega,11.019505105312014
0_6_nega,4_2_posi,17.057924885800972
0_6_nega,7_4_nega,11.387248247508508
0_6_nega,7_7_posi,13.635585451452608
0_6_nega,2_6_nega,19.947340374693237
0_6_nega,4_1_posi,13.11640610980341
0_6_nega,3_0_posi,14.883744698276903
0_6_nega,4_0_nega,14.800703912140092
0_6_nega,1_2_posi,13.98291661337886
0_6_nega,3_3_posi,16.325465610462086
0_6_nega,3_6_nega,13.244917973531692
0_6_nega,3_0_nega,16.19189867945261
0_6_nega,4_2_nega,14.647645778087602
0_6_nega,3_3_nega,14.184389774421598
0_6_nega,1_1_posi,18.18445130784488
0_6_nega,2_0_posi,17.153457206074478
0_6_nega,4_1_nega,15.660735629953974
0_6_nega,4_3_nega,12.87050067796929
0_6_nega,7_7_nega,13.257149338297218
0_6_nega,6_2_nega,14.504516859273497
0_6_nega,2_3_nega,16.338691210757748
0_6_nega,3_6_posi,20.165519762131566
0_6_nega,7_6_posi,19.20034315380741
0_6_nega,3_2_nega,17.694961988472922
0_6_nega,2_2_posi,21.13396072511085
0_6_nega,2_0_nega,19.219342961631067
0_6_nega,2_1_nega,19.10002699987411
0_6_nega,3_2_posi,18.953476377316605
0_6_nega,1_2_nega,17.700452657810185
0_6_nega,3_1_posi,20.98632869026676
0_6_nega,1_1_nega,17.902500994731735
0_6_nega,3_1_nega,19.136523854008967
0_6_nega,2_1_posi,21.75006915351036
0_6_nega,7_6_nega,20.229867641585884
0_6_nega,2_2_nega,19.303543921289013
5_0_nega,0_1_nega,11.482944428894541
5_0_nega,6_5_nega,12.15931999035858
5_0_nega,3_4_nega,11.017523229237614
5_0_nega,7_1_nega,10.070228349839603
5_0_nega,2_3_posi,15.36100765106615
5_0_nega,6_1_nega,10.647564084887073
5_0_nega,1_0_nega,14.398403704193473
5_0_nega,4_2_posi,13.589834900260636
5_0_nega,7_4_nega,11.971530524092369
5_0_nega,7_7_posi,13.294368873119144
5_0_nega,4_1_posi,14.160526465733852
5_0_nega,3_0_posi,17.48298436966771
5_0_nega,4_0_nega,15.013410247500573
5_0_nega,1_2_posi,16.34254640938425
5_0_nega,3_3_posi,13.49563957644777
